Please rate how much control and flexibility you have over your time (e.g. to leave work to take care of a personal matter),Please rate how safe and secure you feel in your job,Please rate how you feel about the amount of work you have to do,Please rate how you feel about the nature of your work,Please rate how you feel about learning and growth opportunities at work,Please rate the nature of your social relationships with your work colleagues,Please rate the nature of your relationship with your manager or supervisor,Please rate how informed you feel about what is going on in your team,Please rate how you perceive your work is valued and recognized,How regularly to you engage in physical exercise (30 minutes or more)?,"How often do you eat processed, packaged, or fast food that is not made from fresh ingredients?"
6,7,6,9,3,9,7,9,7,Once a week,Once a day
4,9,8,3,4,8,5,7,7,Once a week,Several times a day
6,7,6,7,5,7,7,6,8,Less than once a week,Once a day
6,8,7,5,3,6,5,7,8,Every day,Few days a week
3,7,1,6,5,5,5,9,9,Less than once a week,Few days a week
4,7,5,4,3,7,7,7,9,Every day,Few days a week
6,7,4,5,3,9,7,7,8,Less than once a week,A few times a month
5,7,3,8,5,8,6,8,7,Rarely/Never,Once a day
5,8,4,7,1,7,4,7,8,Once a week,A few times a month
5,6,5,9,1,8,7,8,8,Rarely/Never,Few days a week
6,8,7,8,1,6,5,7,8,Rarely/Never,Several times a day
6,8,3,7,1,7,6,8,7,Once a week,Rarely/Never
5,7,6,9,2,8,5,6,8,Once a week,Once a day
7,6,5,7,5,7,6,7,7,Less than once a week,Several times a day
6,8,5,7,3,8,5,7,7,Few days a week,Several times a day
5,7,8,5,4,8,5,6,8,Few days a week,Several times a day
6,8,7,6,6,8,7,6,8,Every day,Few days a week
4,8,8,4,7,7,6,8,8,Once a week,Once a day
6,9,5,8,3,8,5,7,8,Every day,Once a day
5,7,4,3,7,9,7,6,7,Rarely/Never,Few days a week
5,6,5,7,4,7,6,7,8,Less than once a week,Few days a week
5,8,6,5,2,7,6,9,9,Rarely/Never,Few days a week
7,8,6,8,2,9,6,5,7,Once a week,Few days a week
5,9,3,7,1,7,5,6,6,Less than once a week,Few days a week
5,8,6,9,1,9,6,7,6,Less than once a week,Several times a day
5,8,6,7,3,7,5,9,8,Every day,Once a day
6,9,9,3,5,9,6,8,8,Less than once a week,Several times a day
6,6,9,6,7,8,7,8,8,Once a week,Few days a week
6,7,4,3,1,8,5,6,9,Less than once a week,Once a day
6,7,5,5,4,9,4,6,5,Once a week,A few times a month
8,7,2,9,1,7,8,8,8,Once a week,A few times a month
5,6,4,7,5,7,9,8,9,Once a week,Few days a week
5,8,6,4,3,7,6,8,7,Few days a week,Once a day
5,7,8,4,1,8,4,7,8,Every day,Few days a week
6,6,4,6,6,6,6,8,7,Once a week,Once a day
7,6,4,3,2,8,6,8,7,Once a week,Once a day
5,8,1,4,2,7,6,8,8,Rarely/Never,A few times a month
5,8,5,6,1,9,5,8,9,Less than once a week,Once a day
5,9,3,8,2,5,7,6,9,Few days a week,A few times a month
6,9,4,7,4,7,7,5,8,Few days a week,A few times a month
6,8,4,1,3,6,5,9,9,Once a week,Several times a day
6,7,5,6,4,7,7,9,8,Few days a week,A few times a month
5,5,2,6,4,8,8,6,9,Once a week,A few times a month
6,8,2,7,7,7,6,6,8,Few days a week,Few days a week
6,7,9,9,3,7,6,8,8,Once a week,Several times a day
6,7,3,2,1,7,6,8,8,Less than once a week,Several times a day
6,7,3,5,6,8,7,9,9,Once a week,Once a day
6,7,9,7,3,6,4,8,9,Rarely/Never,Few days a week
6,9,9,3,6,8,6,7,7,Once a week,Several times a day
5,8,3,9,4,8,6,7,9,Rarely/Never,Few days a week
6,7,5,6,3,8,8,8,8,Rarely/Never,Several times a day
6,6,6,7,4,8,6,7,8,Once a week,Once a day
4,6,9,5,8,8,8,6,9,Once a week,Few days a week
5,7,3,7,8,9,5,9,8,Rarely/Never,Rarely/Never
5,7,5,8,4,7,7,9,8,Rarely/Never,Several times a day
5,9,7,6,4,7,6,9,8,Every day,Rarely/Never
5,8,6,6,6,7,5,7,8,Less than once a week,Few days a week
7,8,5,6,2,6,6,8,8,Every day,Few days a week
5,7,5,4,4,6,7,8,6,Less than once a week,Few days a week
6,6,3,5,3,7,6,8,9,Once a week,Few days a week
4,7,5,5,4,7,4,9,7,Every day,Once a day
5,7,5,6,2,8,6,8,7,Once a week,Rarely/Never
6,9,6,8,1,8,5,8,8,Rarely/Never,Once a day
6,7,4,4,1,7,6,8,8,Less than once a week,A few times a month
6,8,6,6,1,8,6,8,7,Less than once a week,Once a day
6,7,8,9,2,8,4,6,9,Rarely/Never,Once a day
5,8,6,4,3,7,4,8,7,Less than once a week,Several times a day
5,8,6,4,8,7,6,7,8,Rarely/Never,Few days a week
6,7,6,6,6,8,5,6,7,Few days a week,Rarely/Never
5,7,6,7,1,8,3,9,8,Once a week,Once a day
4,7,4,6,4,6,7,9,8,Less than once a week,Once a day
4,8,6,8,3,7,6,9,7,Less than once a week,Several times a day
4,7,5,7,3,8,5,8,9,Once a week,Once a day
6,6,9,7,4,7,5,9,8,Once a week,Several times a day
6,6,9,7,5,8,7,8,6,Rarely/Never,Several times a day
6,8,6,9,3,6,6,8,6,Rarely/Never,Few days a week
5,9,4,5,6,9,8,6,8,Few days a week,A few times a month
6,8,3,2,1,9,6,8,8,Less than once a week,Rarely/Never
6,7,8,9,4,7,6,8,8,Rarely/Never,Once a day
5,8,6,5,9,8,6,6,8,Once a week,Rarely/Never
6,9,6,6,4,5,7,7,8,Once a week,Few days a week
5,8,2,8,7,6,7,7,9,Rarely/Never,Once a day
5,7,7,3,4,7,7,9,7,Once a week,Few days a week
5,9,6,3,5,6,5,8,7,Few days a week,Few days a week
4,8,3,3,3,8,6,8,7,Once a week,Few days a week
